"Facility Name","Facility ID",State,"Measure Name","Number of Discharges",Footnote,"Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
"VERDE VALLEY MEDICAL CENTER",030007,AZ,READM-30-COPD-HRRP,N/A,,0.8955,14.4740,16.1637,"Too Few to Report",07/01/2021,06/30/2024
"VERDE VALLEY MEDICAL CENTER",030007,AZ,READM-30-HF-HRRP,167,,0.8909,16.8679,18.9345,20,07/01/2021,06/30/2024
"VERDE VALLEY MEDICAL CENTER",030007,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"VERDE VALLEY MEDICAL CENTER",030007,AZ,READM-30-PN-HRRP,252,,0.8669,11.9608,13.7967,21,07/01/2021,06/30/2024
"VERDE VALLEY MEDICAL CENTER",030007,AZ,READM-30-AMI-HRRP,73,,1.0567,12.6559,11.9767,12,07/01/2021,06/30/2024
"VERDE VALLEY MEDICAL CENTER",030007,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ST. MARY'S HOSPITAL",030010,AZ,READM-30-COPD-HRRP,N/A,,1.0287,15.0346,14.6155,"Too Few to Report",07/01/2021,06/30/2024
"ST. MARY'S HOSPITAL",030010,AZ,READM-30-PN-HRRP,195,,0.9930,14.5956,14.6985,28,07/01/2021,06/30/2024
"ST. MARY'S HOSPITAL",030010,AZ,READM-30-CABG-HRRP,N/A,,0.9939,10.9774,11.0452,"Too Few to Report",07/01/2021,06/30/2024
"ST. MARY'S HOSPITAL",030010,AZ,READM-30-HF-HRRP,169,,0.9997,18.3558,18.3614,31,07/01/2021,06/30/2024
"ST. MARY'S HOSPITAL",030010,AZ,READM-30-AMI-HRRP,184,,1.0230,13.5077,13.2038,26,07/01/2021,06/30/2024
"ST. MARY'S HOSPITAL",030010,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ST JOSEPH'S HOSPITAL",030011,AZ,READM-30-CABG-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ST JOSEPH'S HOSPITAL",030011,AZ,READM-30-HF-HRRP,150,,0.9977,18.1104,18.1525,27,07/01/2021,06/30/2024
"ST JOSEPH'S HOSPITAL",030011,AZ,READM-30-COPD-HRRP,N/A,,1.0074,15.6930,15.5784,"Too Few to Report",07/01/2021,06/30/2024
"ST JOSEPH'S HOSPITAL",030011,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9612,4.9449,5.1443,"Too Few to Report",07/01/2021,06/30/2024
"ST JOSEPH'S HOSPITAL",030011,AZ,READM-30-PN-HRRP,215,,0.9507,13.6242,14.3310,26,07/01/2021,06/30/2024
"ST JOSEPH'S HOSPITAL",030011,AZ,READM-30-AMI-HRRP,121,,1.0497,12.8711,12.2621,18,07/01/2021,06/30/2024
"YAVAPAI REGIONAL MEDICAL CENTER",030012,AZ,READM-30-HF-HRRP,483,,1.0576,18.6356,17.6209,94,07/01/2021,06/30/2024
"YAVAPAI REGIONAL MEDICAL CENTER",030012,AZ,READM-30-PN-HRRP,687,,1.0532,13.7789,13.0835,98,07/01/2021,06/30/2024
"YAVAPAI REGIONAL MEDICAL CENTER",030012,AZ,READM-30-COPD-HRRP,209,,0.9326,13.8214,14.8204,24,07/01/2021,06/30/2024
"YAVAPAI REGIONAL MEDICAL CENTER",030012,AZ,READM-30-CABG-HRRP,129,,1.0627,10.4113,9.7967,15,07/01/2021,06/30/2024
"YAVAPAI REGIONAL MEDICAL CENTER",030012,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9270,4.6272,4.9914,"Too Few to Report",07/01/2021,06/30/2024
"YAVAPAI REGIONAL MEDICAL CENTER",030012,AZ,READM-30-AMI-HRRP,410,,0.8589,9.3486,10.8841,31,07/01/2021,06/30/2024
"YUMA REGIONAL MEDICAL CENTER",030013,AZ,READM-30-AMI-HRRP,283,,0.9285,11.9171,12.8353,30,07/01/2021,06/30/2024
"YUMA REGIONAL MEDICAL CENTER",030013,AZ,READM-30-CABG-HRRP,N/A,,0.8942,9.4323,10.5478,"Too Few to Report",07/01/2021,06/30/2024
"YUMA REGIONAL MEDICAL CENTER",030013,AZ,READM-30-COPD-HRRP,158,,0.9788,15.5211,15.8570,23,07/01/2021,06/30/2024
"YUMA REGIONAL MEDICAL CENTER",030013,AZ,READM-30-HIP-KNEE-HRRP,N/A,,1.0112,6.2363,6.1671,"Too Few to Report",07/01/2021,06/30/2024
"YUMA REGIONAL MEDICAL CENTER",030013,AZ,READM-30-PN-HRRP,575,,0.9457,14.2035,15.0198,78,07/01/2021,06/30/2024
"YUMA REGIONAL MEDICAL CENTER",030013,AZ,READM-30-HF-HRRP,530,,1.1265,20.4546,18.1572,117,07/01/2021,06/30/2024
"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",030014,AZ,READM-30-HF-HRRP,222,,1.0705,19.8571,18.5487,49,07/01/2021,06/30/2024
"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",030014,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",030014,AZ,READM-30-PN-HRRP,335,,0.9124,13.1214,14.3819,38,07/01/2021,06/30/2024
"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",030014,AZ,READM-30-COPD-HRRP,N/A,,0.9785,16.7793,17.1480,"Too Few to Report",07/01/2021,06/30/2024
"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",030014,AZ,READM-30-HIP-KNEE-HRRP,N/A,,1.0012,5.6140,5.6071,"Too Few to Report",07/01/2021,06/30/2024
"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",030014,AZ,READM-30-AMI-HRRP,104,,0.9855,12.2465,12.4273,12,07/01/2021,06/30/2024
"BANNER CASA GRANDE MEDICAL CENTER",030016,AZ,READM-30-PN-HRRP,329,,1.0745,16.4710,15.3286,59,07/01/2021,06/30/2024
"BANNER CASA GRANDE MEDICAL CENTER",030016,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BANNER CASA GRANDE MEDICAL CENTER",030016,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BANNER CASA GRANDE MEDICAL CENTER",030016,AZ,READM-30-HF-HRRP,197,,1.0672,19.4575,18.2317,43,07/01/2021,06/30/2024
"BANNER CASA GRANDE MEDICAL CENTER",030016,AZ,READM-30-AMI-HRRP,N/A,,0.9997,9.8574,9.8601,"Too Few to Report",07/01/2021,06/30/2024
"BANNER CASA GRANDE MEDICAL CENTER",030016,AZ,READM-30-COPD-HRRP,N/A,,1.0108,13.9585,13.8091,"Too Few to Report",07/01/2021,06/30/2024
"VALLEYWISE HEALTH MEDICAL CENTER",030022,AZ,READM-30-PN-HRRP,N/A,,1.0176,14.6565,14.4034,"Too Few to Report",07/01/2021,06/30/2024
"VALLEYWISE HEALTH MEDICAL CENTER",030022,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"VALLEYWISE HEALTH MEDICAL CENTER",030022,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"VALLEYWISE HEALTH MEDICAL CENTER",030022,AZ,READM-30-HF-HRRP,38,,1.0638,19.7462,18.5614,12,07/01/2021,06/30/2024
"VALLEYWISE HEALTH MEDICAL CENTER",030022,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"VALLEYWISE HEALTH MEDICAL CENTER",030022,AZ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FLAGSTAFF MEDICAL CENTER",030023,AZ,READM-30-PN-HRRP,260,,1.0491,14.5650,13.8834,41,07/01/2021,06/30/2024
"FLAGSTAFF MEDICAL CENTER",030023,AZ,READM-30-COPD-HRRP,N/A,,0.9565,14.2098,14.8562,"Too Few to Report",07/01/2021,06/30/2024
"FLAGSTAFF MEDICAL CENTER",030023,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9117,4.4674,4.9002,"Too Few to Report",07/01/2021,06/30/2024
"FLAGSTAFF MEDICAL CENTER",030023,AZ,READM-30-AMI-HRRP,169,,0.9336,10.2713,11.0020,14,07/01/2021,06/30/2024
"FLAGSTAFF MEDICAL CENTER",030023,AZ,READM-30-HF-HRRP,295,,0.9976,19.7194,19.7662,58,07/01/2021,06/30/2024
"FLAGSTAFF MEDICAL CENTER",030023,AZ,READM-30-CABG-HRRP,N/A,,1.0499,10.0907,9.6114,"Too Few to Report",07/01/2021,06/30/2024
"ST JOSEPHS HOSPITAL AND MEDICAL CENTER",030024,AZ,READM-30-PN-HRRP,241,,1.0131,14.9940,14.7996,37,07/01/2021,06/30/2024
"ST JOSEPHS HOSPITAL AND MEDICAL CENTER",030024,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ST JOSEPHS HOSPITAL AND MEDICAL CENTER",030024,AZ,READM-30-AMI-HRRP,184,,0.9788,13.0881,13.3710,23,07/01/2021,06/30/2024
"ST JOSEPHS HOSPITAL AND MEDICAL CENTER",030024,AZ,READM-30-COPD-HRRP,108,,1.0173,14.6274,14.3780,17,07/01/2021,06/30/2024
"ST JOSEPHS HOSPITAL AND MEDICAL CENTER",030024,AZ,READM-30-CABG-HRRP,N/A,,1.0649,10.3145,9.6856,"Too Few to Report",07/01/2021,06/30/2024
"ST JOSEPHS HOSPITAL AND MEDICAL CENTER",030024,AZ,READM-30-HF-HRRP,189,,0.9678,19.2473,19.8885,34,07/01/2021,06/30/2024
"ABRAZO CENTRAL CAMPUS",030030,AZ,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ABRAZO CENTRAL CAMPUS",030030,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ABRAZO CENTRAL CAMPUS",030030,AZ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ABRAZO CENTRAL CAMPUS",030030,AZ,READM-30-PN-HRRP,74,,1.0229,15.5245,15.1774,13,07/01/2021,06/30/2024
"ABRAZO CENTRAL CAMPUS",030030,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ABRAZO CENTRAL CAMPUS",030030,AZ,READM-30-HF-HRRP,N/A,,0.9673,19.5530,20.2148,"Too Few to Report",07/01/2021,06/30/2024
"CHANDLER REGIONAL MEDICAL CENTER",030036,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CHANDLER REGIONAL MEDICAL CENTER",030036,AZ,READM-30-HF-HRRP,694,,0.9304,18.3266,19.6967,122,07/01/2021,06/30/2024
"CHANDLER REGIONAL MEDICAL CENTER",030036,AZ,READM-30-CABG-HRRP,163,,1.0055,9.7300,9.6766,16,07/01/2021,06/30/2024
"CHANDLER REGIONAL MEDICAL CENTER",030036,AZ,READM-30-AMI-HRRP,396,,1.0949,13.9811,12.7693,60,07/01/2021,06/30/2024
"CHANDLER REGIONAL MEDICAL CENTER",030036,AZ,READM-30-PN-HRRP,707,,0.9155,14.9781,16.3613,100,07/01/2021,06/30/2024
"CHANDLER REGIONAL MEDICAL CENTER",030036,AZ,READM-30-COPD-HRRP,173,,0.9499,17.2114,18.1191,26,07/01/2021,06/30/2024
"HONORHEALTH TEMPE MEDICAL CENTER",030037,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONORHEALTH TEMPE MEDICAL CENTER",030037,AZ,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONORHEALTH TEMPE MEDICAL CENTER",030037,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONORHEALTH TEMPE MEDICAL CENTER",030037,AZ,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONORHEALTH TEMPE MEDICAL CENTER",030037,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONORHEALTH TEMPE MEDICAL CENTER",030037,AZ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",030038,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.8595,3.9635,4.6114,"Too Few to Report",07/01/2021,06/30/2024
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",030038,AZ,READM-30-HF-HRRP,387,,1.0600,19.5874,18.4783,80,07/01/2021,06/30/2024
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",030038,AZ,READM-30-COPD-HRRP,110,,0.9674,16.7370,17.3003,16,07/01/2021,06/30/2024
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",030038,AZ,READM-30-PN-HRRP,438,,1.0230,15.4080,15.0609,69,07/01/2021,06/30/2024
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",030038,AZ,READM-30-AMI-HRRP,132,,1.0426,12.8003,12.2770,19,07/01/2021,06/30/2024
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",030038,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CANYON VISTA MEDICAL CENTER",030043,AZ,READM-30-PN-HRRP,301,,1.0555,14.4482,13.6882,47,07/01/2021,06/30/2024
"CANYON VISTA MEDICAL CENTER",030043,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9551,5.3260,5.5763,"Too Few to Report",07/01/2021,06/30/2024
"CANYON VISTA MEDICAL CENTER",030043,AZ,READM-30-HF-HRRP,172,,1.0009,18.5686,18.5526,32,07/01/2021,06/30/2024
"CANYON VISTA MEDICAL CENTER",030043,AZ,READM-30-AMI-HRRP,99,,1.0669,10.9087,10.2243,14,07/01/2021,06/30/2024
"CANYON VISTA MEDICAL CENTER",030043,AZ,READM-30-COPD-HRRP,89,,1.0169,15.5041,15.2467,15,07/01/2021,06/30/2024
"CANYON VISTA MEDICAL CENTER",030043,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"KINGMAN REGIONAL MEDICAL CENTER",030055,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"KINGMAN REGIONAL MEDICAL CENTER",030055,AZ,READM-30-HF-HRRP,263,,1.0070,19.2004,19.0667,51,07/01/2021,06/30/2024
"KINGMAN REGIONAL MEDICAL CENTER",030055,AZ,READM-30-COPD-HRRP,N/A,,0.9510,14.2499,14.9840,"Too Few to Report",07/01/2021,06/30/2024
"KINGMAN REGIONAL MEDICAL CENTER",030055,AZ,READM-30-AMI-HRRP,N/A,,0.9308,13.0717,14.0439,"Too Few to Report",07/01/2021,06/30/2024
"KINGMAN REGIONAL MEDICAL CENTER",030055,AZ,READM-30-PN-HRRP,363,,1.0141,15.1720,14.9609,56,07/01/2021,06/30/2024
"KINGMAN REGIONAL MEDICAL CENTER",030055,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BANNER BOSWELL MEDICAL CENTER",030061,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9001,5.3719,5.9683,"Too Few to Report",07/01/2021,06/30/2024
"BANNER BOSWELL MEDICAL CENTER",030061,AZ,READM-30-COPD-HRRP,224,,0.9815,16.6720,16.9865,36,07/01/2021,06/30/2024
"BANNER BOSWELL MEDICAL CENTER",030061,AZ,READM-30-HF-HRRP,770,,1.0647,21.0911,19.8096,167,07/01/2021,06/30/2024
"BANNER BOSWELL MEDICAL CENTER",030061,AZ,READM-30-PN-HRRP,895,,1.0319,16.3010,15.7963,148,07/01/2021,06/30/2024
"BANNER BOSWELL MEDICAL CENTER",030061,AZ,READM-30-AMI-HRRP,260,,1.0917,14.0562,12.8757,41,07/01/2021,06/30/2024
"BANNER BOSWELL MEDICAL CENTER",030061,AZ,READM-30-CABG-HRRP,166,,1.0321,10.9507,10.6097,19,07/01/2021,06/30/2024
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",030062,AZ,READM-30-HIP-KNEE-HRRP,N/A,,1.0294,6.6570,6.4669,"Too Few to Report",07/01/2021,06/30/2024
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",030062,AZ,READM-30-HF-HRRP,175,,0.9655,16.2632,16.8449,26,07/01/2021,06/30/2024
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",030062,AZ,READM-30-COPD-HRRP,N/A,,0.9404,11.9054,12.6595,"Too Few to Report",07/01/2021,06/30/2024
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",030062,AZ,READM-30-AMI-HRRP,N/A,,1.0202,9.6928,9.5008,"Too Few to Report",07/01/2021,06/30/2024
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",030062,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",030062,AZ,READM-30-PN-HRRP,244,,0.9911,12.9413,13.0577,31,07/01/2021,06/30/2024
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",030064,AZ,READM-30-HF-HRRP,215,,0.9175,19.6792,21.4481,36,07/01/2021,06/30/2024
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",030064,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",030064,AZ,READM-30-COPD-HRRP,N/A,,0.9748,16.3372,16.7597,"Too Few to Report",07/01/2021,06/30/2024
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",030064,AZ,READM-30-PN-HRRP,316,,0.9674,17.1762,17.7555,52,07/01/2021,06/30/2024
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",030064,AZ,READM-30-AMI-HRRP,125,,0.9832,13.4904,13.7205,16,07/01/2021,06/30/2024
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",030064,AZ,READM-30-CABG-HRRP,N/A,,0.9283,10.4378,11.2438,"Too Few to Report",07/01/2021,06/30/2024
"BANNER DESERT MEDICAL CENTER",030065,AZ,READM-30-PN-HRRP,619,,1.1307,17.8738,15.8076,119,07/01/2021,06/30/2024
"BANNER DESERT MEDICAL CENTER",030065,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BANNER DESERT MEDICAL CENTER",030065,AZ,READM-30-COPD-HRRP,130,,1.0177,18.9941,18.6641,26,07/01/2021,06/30/2024
"BANNER DESERT MEDICAL CENTER",030065,AZ,READM-30-HF-HRRP,333,,0.9760,18.2403,18.6892,59,07/01/2021,06/30/2024
"BANNER DESERT MEDICAL CENTER",030065,AZ,READM-30-AMI-HRRP,207,,1.0183,12.6018,12.3755,27,07/01/2021,06/30/2024
"BANNER DESERT MEDICAL CENTER",030065,AZ,READM-30-CABG-HRRP,N/A,,1.0219,9.6221,9.4164,"Too Few to Report",07/01/2021,06/30/2024
"HAVASU REGIONAL MEDICAL CENTER",030069,AZ,READM-30-HF-HRRP,218,,1.0174,19.6104,19.2741,44,07/01/2021,06/30/2024
"HAVASU REGIONAL MEDICAL CENTER",030069,AZ,READM-30-COPD-HRRP,147,,0.9997,17.0216,17.0267,25,07/01/2021,06/30/2024
"HAVASU REGIONAL MEDICAL CENTER",030069,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.8585,5.0162,5.8428,"Too Few to Report",07/01/2021,06/30/2024
"HAVASU REGIONAL MEDICAL CENTER",030069,AZ,READM-30-PN-HRRP,241,,1.0129,15.0031,14.8127,37,07/01/2021,06/30/2024
"HAVASU REGIONAL MEDICAL CENTER",030069,AZ,READM-30-CABG-HRRP,77,,1.0370,14.2846,13.7753,12,07/01/2021,06/30/2024
"HAVASU REGIONAL MEDICAL CENTER",030069,AZ,READM-30-AMI-HRRP,185,,0.9938,12.0612,12.1369,22,07/01/2021,06/30/2024
"FORT DEFIANCE INDIAN HOSPITAL",030071,AZ,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FORT DEFIANCE INDIAN HOSPITAL",030071,AZ,READM-30-HF-HRRP,N/A,,1.0421,19.9609,19.1545,"Too Few to Report",07/01/2021,06/30/2024
"FORT DEFIANCE INDIAN HOSPITAL",030071,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FORT DEFIANCE INDIAN HOSPITAL",030071,AZ,READM-30-PN-HRRP,N/A,,1.0397,11.6080,11.1645,"Too Few to Report",07/01/2021,06/30/2024
"FORT DEFIANCE INDIAN HOSPITAL",030071,AZ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FORT DEFIANCE INDIAN HOSPITAL",030071,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",030073,AZ,READM-30-PN-HRRP,N/A,,0.9450,12.0512,12.7531,"Too Few to Report",07/01/2021,06/30/2024
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",030073,AZ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",030073,AZ,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",030073,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",030073,AZ,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",030073,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SELLS HOSPITAL",030074,AZ,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SELLS HOSPITAL",030074,AZ,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SELLS HOSPITAL",030074,AZ,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SELLS HOSPITAL",030074,AZ,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SELLS HOSPITAL",030074,AZ,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SELLS HOSPITAL",030074,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"PHOENIX INDIAN MEDICAL CENTER",030078,AZ,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"PHOENIX INDIAN MEDICAL CENTER",030078,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"PHOENIX INDIAN MEDICAL CENTER",030078,AZ,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"PHOENIX INDIAN MEDICAL CENTER",030078,AZ,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"PHOENIX INDIAN MEDICAL CENTER",030078,AZ,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"PHOENIX INDIAN MEDICAL CENTER",030078,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ABRAZO SCOTTSDALE CAMPUS",030083,AZ,READM-30-PN-HRRP,163,,0.9049,13.8592,15.3164,16,07/01/2021,06/30/2024
"ABRAZO SCOTTSDALE CAMPUS",030083,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9647,4.2528,4.4085,"Too Few to Report",07/01/2021,06/30/2024
"ABRAZO SCOTTSDALE CAMPUS",030083,AZ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ABRAZO SCOTTSDALE CAMPUS",030083,AZ,READM-30-COPD-HRRP,N/A,,0.9412,15.7549,16.7389,"Too Few to Report",07/01/2021,06/30/2024
"ABRAZO SCOTTSDALE CAMPUS",030083,AZ,READM-30-HF-HRRP,63,,1.0001,19.0320,19.0294,12,07/01/2021,06/30/2024
"ABRAZO SCOTTSDALE CAMPUS",030083,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",030084,AZ,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",030084,AZ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",030084,AZ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",030084,AZ,READM-30-PN-HRRP,82,,1.0551,10.6106,10.0569,12,07/01/2021,06/30/2024
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",030084,AZ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",030084,AZ,READM-30-HF-HRRP,N/A,,1.0329,16.4194,15.8967,"Too Few to Report",07/01/2021,06/30/2024
"NORTHWEST MEDICAL CENTER",030085,AZ,READM-30-HIP-KNEE-HRRP,N/A,,0.9234,5.0433,5.4614,"Too Few to Report",07/01/2021,06/30/2024
"NORTHWEST MEDICAL CENTER",030085,AZ,READM-30-HF-HRRP,438,,0.9584,17.1233,17.8659,72,07/01/2021,06/30/2024
"NORTHWEST MEDICAL CENTER",030085,AZ,READM-30-CABG-HRRP,119,,1.0329,9.3933,9.0942,12,07/01/2021,06/30/2024
"NORTHWEST MEDICAL CENTER",030085,AZ,READM-30-AMI-HRRP,279,,0.9960,10.8237,10.8675,30,07/01/2021,06/30/2024
"NORTHWEST MEDICAL CENTER",030085,AZ,READM-30-PN-HRRP,364,,0.9113,13.1963,14.4815,42,07/01/2021,06/30/2024
"NORTHWEST MEDICAL CENTER",030085,AZ,READM-30-COPD-HRRP,94,,1.0291,16.9487,16.4695,18,07/01/2021,06/30/2024
